club,club_id,club_url,player_count,represented_countries,total_market_value_eur,player_count_rank
Besiktas JK,114,https://www.transfermarkt.com/besiktas-istanbul/startseite/verein/114,4,4,63000000,80
SC Braga,1075,https://www.transfermarkt.com/sc-braga/startseite/verein/1075,4,4,60500000,80
RC Lens,826,https://www.transfermarkt.com/rc-lens/startseite/verein/826,4,4,48000000,80
Stade Rennais FC,273,https://www.transfermarkt.com/fc-stade-rennes/startseite/verein/273,4,4,38000000,80
CF América,3631,https://www.transfermarkt.com/cf-america/startseite/verein/3631,4,3,29000000,80
Ajax Amsterdam,610,https://www.transfermarkt.com/ajax-amsterdam/startseite/verein/610,4,3,27000000,80
KRC Genk,1184,https://www.transfermarkt.com/krc-genk/startseite/verein/1184,4,4,25000000,80
FC Augsburg,167,https://www.transfermarkt.com/fc-augsburg/startseite/verein/167,4,4,24500000,80
Los Angeles FC,51828,https://www.transfermarkt.com/los-angeles-fc/startseite/verein/51828,4,2,24300000,80
Al-Ittihad Club,8023,https://www.transfermarkt.com/al-ittihad-dschidda/startseite/verein/8023,4,3,21850000,80
FC Midtjylland,865,https://www.transfermarkt.com/fc-midtjylland/startseite/verein/865,4,3,16500000,80
AJ Auxerre,290,https://www.transfermarkt.com/aj-auxerre/startseite/verein/290,4,2,14000000,80
Clube Atlético Mineiro,330,https://www.transfermarkt.com/clube-atletico-mineiro/startseite/verein/330,4,2,12500000,80
FC St. Pauli,35,https://www.transfermarkt.com/fc-st-pauli/startseite/verein/35,4,3,12000000,80
Al-Wakrah SC,13509,https://www.transfermarkt.com/al-wakrah-sc/startseite/verein/13509,4,2,2775000,80
Al-Zawraa SC,23806,https://www.transfermarkt.com/al-zawraa-sc/startseite/verein/23806,4,2,1850000,80
Al-Shorta SC,13593,https://www.transfermarkt.com/al-shorta-sc/startseite/verein/13593,4,1,1550000,80
Al-Rayyan SC,3229,https://www.transfermarkt.com/al-rayyan-sc/startseite/verein/3229,4,1,1450000,80
Como 1907,1047,https://www.transfermarkt.com/como-1907/startseite/verein/1047,3,3,140000000,106
Hamburger SV,41,https://www.transfermarkt.com/hamburger-sv/startseite/verein/41,3,3,68000000,106
FC Porto,720,https://www.transfermarkt.com/fc-porto/startseite/verein/720,3,3,53000000,106
Inter Miami CF,69261,https://www.transfermarkt.com/inter-miami-cf/startseite/verein/69261,3,2,32500000,106
SV Werder Bremen,86,https://www.transfermarkt.com/sv-werder-bremen/startseite/verein/86,3,2,30500000,106
Union Saint-Gilloise,3948,https://www.transfermarkt.com/royale-union-saint-gilloise/startseite/verein/3948,3,3,26500000,106
FC Lorient,1158,https://www.transfermarkt.com/fc-lorient/startseite/verein/1158,3,3,25500000,106
Leicester City,1003,https://www.transfermarkt.com/leicester-city/startseite/verein/1003,3,2,24500000,106
FK Bodø/Glimt,501,https://www.transfermarkt.com/fk-bodo-glimt/startseite/verein/501,3,1,23500000,106
Sevilla FC,368,https://www.transfermarkt.com/fc-sevilla/startseite/verein/368,3,2,20400000,106
Torino FC,416,https://www.transfermarkt.com/fc-turin/startseite/verein/416,3,3,18500000,106
FC Dallas,8816,https://www.transfermarkt.com/fc-dallas/startseite/verein/8816,3,3,15000000,106
HNK Rijeka,144,https://www.transfermarkt.com/hnk-rijeka/startseite/verein/144,3,2,13800000,106
Watford FC,1010,https://www.transfermarkt.com/fc-watford/startseite/verein/1010,3,3,13500000,106
Vancouver Whitecaps FC,6321,https://www.transfermarkt.com/vancouver-whitecaps-fc/startseite/verein/6321,3,3,13300000,106
Royal Charleroi SC,172,https://www.transfermarkt.com/rsc-charleroi/startseite/verein/172,3,2,12800000,106
Orlando City SC,45604,https://www.transfermarkt.com/orlando-city-sc/startseite/verein/45604,3,3,11800000,106
FC Copenhagen,190,https://www.transfermarkt.com/fc-kopenhagen/startseite/verein/190,3,3,11500000,106
Hull City,3008,https://www.transfermarkt.com/hull-city/startseite/verein/3008,3,3,11500000,106
UNAM Pumas,7633,https://www.transfermarkt.com/unam-pumas/startseite/verein/7633,3,3,11500000,106
Al-Ain FC,2150,https://www.transfermarkt.com/al-ain-fc/startseite/verein/2150,3,3,11100000,106
Venezia FC,607,https://www.transfermarkt.com/venezia-fc/startseite/verein/607,3,3,9800000,106
Real Oviedo,2497,https://www.transfermarkt.com/real-oviedo/startseite/verein/2497,3,3,9500000,106
